name,fips,cases
New Mexico,35001.0,198099.0
Georgia,13019.0,5892.0
Michigan,26021.0,42247.0
North Carolina,37015.0,5488.0
Alaska,2050.0,13148.0
Texas,48029.0,703566.0
Alabama,1007.0,8105.0
Georgia,13021.0,45627.0
Louisiana,22013.0,5030.0
Montana,30003.0,5874.0
Wyoming,56003.0,3097.0
Minnesota,27011.0,1786.0
North Dakota,38007.0,170.0
Idaho,16011.0,11273.0
Iowa,19013.0,39169.0
Indiana,18009.0,3709.0
North Carolina,37017.0,12145.0
Idaho,16013.0,7337.0
Montana,30005.0,2596.0
Nebraska,31009.0,76.0
Oklahoma,40011.0,2945.0
Pennsylvania,42013.0,35302.0
Texas,48031.0,3265.0
Virginia,51021.0,2409.0
Georgia,13023.0,3956.0
Tennessee,47007.0,5436.0
Alabama,1009.0,18747.0
Tennessee,47009.0,49586.0
Minnesota,27013.0,21485.0
Idaho,16015.0,1301.0
Mississippi,28011.0,11666.0
Missouri,29017.0,3277.0
South Dakota,46009.0,2576.0
Illinois,17005.0,5318.0
Idaho,16017.0,10312.0
Idaho,16019.0,35755.0
Arkansas,5009.0,11304.0
Illinois,17007.0,17647.0
Indiana,18011.0,17408.0
Iowa,19015.0,6565.0
Kentucky,21015.0,47584.0
Missouri,29019.0,55757.0
Nebraska,31011.0,1298.0
West Virginia,54005.0,8780.0
Texas,48033.0,116.0
Texas,48035.0,4638.0
Louisiana,22015.0,51511.0
Virginia,51023.0,10015.0
North Dakota,38009.0,1895.0
Colorado,8013.0,91691.0
Idaho,16021.0,2426.0
Kansas,20011.0,5631.0
Kentucky,21017.0,7836.0
Texas,48037.0,23998.0
North Dakota,38011.0,937.0
Nebraska,31013.0,2535.0
Utah,49003.0,16101.0
Kentucky,21019.0,23034.0
Nebraska,31015.0,493.0
Kentucky,21021.0,11479.0
Kentucky,21023.0,2768.0
Florida,12007.0,9233.0
Pennsylvania,42015.0,20866.0
Arkansas,5011.0,3597.0
Tennessee,47011.0,39295.0
Michigan,26023.0,14416.0
Georgia,13025.0,4699.0
West Virginia,54007.0,5011.0
Texas,48039.0,118986.0
Texas,48041.0,77764.0
Kentucky,21025.0,5408.0
Kentucky,21027.0,6714.0
Iowa,19017.0,6408.0
Florida,12009.0,174846.0
Texas,48043.0,1519.0
Texas,48045.0,566.0
Massachusetts,25005.0,182647.0
Rhode Island,44001.0,17864.0
Alaska,2997.0,1233.0
Virginia,51520.0,6230.0
Montana,30007.0,1549.0
West Virginia,54009.0,6336.0
South Dakota,46011.0,9541.0
