,date,state,fips,cases,deaths
19979,2021-03-01,Alabama,1,493769,9931
19980,2021-03-01,Alaska,2,58229,289
19981,2021-03-01,Arizona,4,818268,15979
19982,2021-03-01,Arkansas,5,322509,5250
19983,2021-03-01,California,6,3573775,52487
19984,2021-03-01,Colorado,8,432186,6046
19985,2021-03-01,Connecticut,9,282626,7651
19986,2021-03-01,Delaware,10,87080,1422
19987,2021-03-01,District of Columbia,11,40684,1019
19988,2021-03-01,Florida,12,1910913,30998
19989,2021-03-01,Georgia,13,983879,16834
19990,2021-03-01,Guam,66,8706,132
19991,2021-03-01,Hawaii,15,27499,436
19992,2021-03-01,Idaho,16,171618,1869
19993,2021-03-01,Illinois,17,1191207,22759
19994,2021-03-01,Indiana,18,665422,12595
19995,2021-03-01,Iowa,19,336890,5472
19996,2021-03-01,Kansas,20,297436,4743
19997,2021-03-01,Kentucky,21,408854,4802
19998,2021-03-01,Louisiana,22,430504,9628
19999,2021-03-01,Maine,23,44762,703
20000,2021-03-01,Maryland,24,382884,7879
20001,2021-03-01,Massachusetts,25,582543,16144
20002,2021-03-01,Michigan,26,646502,16509
20003,2021-03-01,Minnesota,27,485298,6554
20004,2021-03-01,Mississippi,28,294994,6681
20005,2021-03-01,Missouri,29,525206,8385
20006,2021-03-01,Montana,30,100115,1358
20007,2021-03-01,Nebraska,31,201556,2205
20008,2021-03-01,Nevada,32,294047,4957
20009,2021-03-01,New Hampshire,33,75588,1170
20010,2021-03-01,New Jersey,34,792496,23273
20011,2021-03-01,New Mexico,35,185297,3731
20012,2021-03-01,New York,36,1650560,47247
20013,2021-03-01,North Carolina,37,862880,11286
20014,2021-03-01,North Dakota,38,99882,1475
20015,2021-03-01,Northern Mariana Islands,69,143,2
20016,2021-03-01,Ohio,39,968874,17348
20017,2021-03-01,Oklahoma,40,424888,4478
20018,2021-03-01,Oregon,41,155873,2222
20019,2021-03-01,Pennsylvania,42,938308,24065
20020,2021-03-01,Puerto Rico,72,134199,2037
20021,2021-03-01,Rhode Island,44,126588,2517
20022,2021-03-01,South Carolina,45,517976,8562
20023,2021-03-01,South Dakota,46,112470,1888
20024,2021-03-01,Tennessee,47,761891,11327
20025,2021-03-01,Texas,48,2658389,44078
20026,2021-03-01,Utah,49,371548,1940
20027,2021-03-01,Vermont,50,15284,205
20028,2021-03-01,Virgin Islands,78,2646,25
20029,2021-03-01,Virginia,51,577174,8783
20030,2021-03-01,Washington,53,343723,5038
20031,2021-03-01,West Virginia,54,132048,2300
20032,2021-03-01,Wisconsin,55,617700,7019
20033,2021-03-01,Wyoming,56,54471,671
20034,2021-03-02,Alabama,1,494421,9991
20035,2021-03-02,Alaska,2,58383,290
