,date,state,fips,cases,deaths
40214,2022-03-01,Alabama,1,1280351,18287
40215,2022-03-01,Alaska,2,237977,1128
40216,2022-03-01,American Samoa,60,94,0
40217,2022-03-01,Arizona,4,1976890,27946
40218,2022-03-01,Arkansas,5,820677,10579
40219,2022-03-01,California,6,8978975,85682
40220,2022-03-01,Colorado,8,1320858,12028
40221,2022-03-01,Connecticut,9,723559,10471
40222,2022-03-01,Delaware,10,256656,2711
40223,2022-03-01,District of Columbia,11,134623,1319
40224,2022-03-01,Florida,12,5808620,70247
40225,2022-03-01,Georgia,13,2396446,34164
40226,2022-03-01,Guam,66,45542,329
40227,2022-03-01,Hawaii,15,230575,1331
40228,2022-03-01,Idaho,16,427831,4765
40229,2022-03-01,Illinois,17,3038507,36953
40230,2022-03-01,Indiana,18,1686214,22880
40231,2022-03-01,Iowa,19,754073,9085
40232,2022-03-01,Kansas,20,766997,7969
40233,2022-03-01,Kentucky,21,1290555,13934
40234,2022-03-01,Louisiana,22,1225637,16606
40235,2022-03-01,Maine,23,227332,2065
40236,2022-03-01,Maryland,24,1002897,14135
40237,2022-03-01,Massachusetts,25,1672594,23488
40238,2022-03-01,Michigan,26,2354772,34467
40239,2022-03-01,Minnesota,27,1415832,12311
40240,2022-03-01,Mississippi,28,790168,12100
40241,2022-03-01,Missouri,29,1414024,19237
40242,2022-03-01,Montana,30,267513,3190
40243,2022-03-01,Nebraska,31,475690,3986
40244,2022-03-01,Nevada,32,684031,9716
40245,2022-03-01,New Hampshire,33,298626,2387
40246,2022-03-01,New Jersey,34,2168631,32951
40247,2022-03-01,New Mexico,35,512120,6927
40248,2022-03-01,New York,36,4909771,66791
40249,2022-03-01,North Carolina,37,2592518,22618
40250,2022-03-01,North Dakota,38,238207,2241
40251,2022-03-01,Northern Mariana Islands,69,9724,30
40252,2022-03-01,Ohio,39,2654991,36822
40253,2022-03-01,Oklahoma,40,1021849,12990
40254,2022-03-01,Oregon,41,694649,6648
40255,2022-03-01,Pennsylvania,42,2758482,43332
40256,2022-03-01,Puerto Rico,72,507138,4114
40257,2022-03-01,Rhode Island,44,356095,3413
40258,2022-03-01,South Carolina,45,1461426,16912
40259,2022-03-01,South Dakota,46,236056,2808
40260,2022-03-01,Tennessee,47,1957929,24245
40261,2022-03-01,Texas,48,6565659,85143
40262,2022-03-01,Utah,49,923313,4417
40263,2022-03-01,Vermont,50,112364,598
40264,2022-03-01,Virgin Islands,78,15402,109
40265,2022-03-01,Virginia,51,1641438,18811
40266,2022-03-01,Washington,53,1424853,11941
40267,2022-03-01,West Virginia,54,490544,6339
40268,2022-03-01,Wisconsin,55,1572917,13351
40269,2022-03-01,Wyoming,56,155184,1741
40270,2022-03-02,Alabama,1,1281610,18335
40271,2022-03-02,Alaska,2,238547,1155
40272,2022-03-02,American Samoa,60,135,0
40273,2022-03-02,Arizona,4,1980769,27947
40274,2022-03-02,Arkansas,5,821236,10611
40275,2022-03-02,California,6,8984737,85975
40276,2022-03-02,Colorado,8,1321703,12035
40277,2022-03-02,Connecticut,9,723812,10512
40278,2022-03-02,Delaware,10,256753,2711
40279,2022-03-02,District of Columbia,11,134678,1321
40280,2022-03-02,Florida,12,5810369,70247
40281,2022-03-02,Georgia,13,2397749,34230
40282,2022-03-02,Guam,66,45542,329
40283,2022-03-02,Hawaii,15,230714,1338
40284,2022-03-02,Idaho,16,429571,4774
40285,2022-03-02,Illinois,17,3040100,37010
40286,2022-03-02,Indiana,18,1686660,22928
40287,2022-03-02,Iowa,19,754511,9171
40288,2022-03-02,Kansas,20,767939,7997
40289,2022-03-02,Kentucky,21,1292722,13978
40290,2022-03-02,Louisiana,22,1227106,16677
40291,2022-03-02,Maine,23,228241,2078
40292,2022-03-02,Maryland,24,1003302,14146
40293,2022-03-02,Massachusetts,25,1673611,23525
40294,2022-03-02,Michigan,26,2357880,34727
40295,2022-03-02,Minnesota,27,1416371,12332
40296,2022-03-02,Mississippi,28,790616,12115
40297,2022-03-02,Missouri,29,1414729,19272
40298,2022-03-02,Montana,30,268397,3192
40299,2022-03-02,Nebraska,31,475888,3986
40300,2022-03-02,Nevada,32,684441,9753
40301,2022-03-02,New Hampshire,33,298808,2396
40302,2022-03-02,New Jersey,34,2170061,32966
40303,2022-03-02,New Mexico,35,512550,6941
40304,2022-03-02,New York,36,4911447,66829
40305,2022-03-02,North Carolina,37,2594720,22681
