date,state,fips,cases,deaths
3/1/2022,Alabama,1,1280351,18287
3/1/2022,Alaska,2,237977,1128
3/1/2022,American Samoa,60,94,0
3/1/2022,Arizona,4,1976890,27946
3/1/2022,Arkansas,5,820677,10579
3/1/2022,California,6,8978975,85682
3/1/2022,Colorado,8,1320858,12028
3/1/2022,Connecticut,9,723559,10471
3/1/2022,Delaware,10,256656,2711
3/1/2022,District of Columbia,11,134623,1319
3/1/2022,Florida,12,5808620,70247
3/1/2022,Georgia,13,2396446,34164
3/1/2022,Guam,66,45542,329
3/1/2022,Hawaii,15,230575,1331
3/1/2022,Idaho,16,427831,4765
3/1/2022,Illinois,17,3038507,36953
3/1/2022,Indiana,18,1686214,22880
3/1/2022,Iowa,19,754073,9085
3/1/2022,Kansas,20,766997,7969
3/1/2022,Kentucky,21,1290555,13934
3/1/2022,Louisiana,22,1225637,16606
3/1/2022,Maine,23,227332,2065
3/1/2022,Maryland,24,1002897,14135
3/1/2022,Massachusetts,25,1672594,23488
3/1/2022,Michigan,26,2354772,34467
3/1/2022,Minnesota,27,1415832,12311
3/1/2022,Mississippi,28,790168,12100
3/1/2022,Missouri,29,1414024,19237
3/1/2022,Montana,30,267513,3190
3/1/2022,Nebraska,31,475690,3986
3/1/2022,Nevada,32,684031,9716
3/1/2022,New Hampshire,33,298626,2387
3/1/2022,New Jersey,34,2168631,32951
3/1/2022,New Mexico,35,512120,6927
3/1/2022,New York,36,4909771,66791
3/1/2022,North Carolina,37,2592518,22618
3/1/2022,North Dakota,38,238207,2241
3/1/2022,Northern Mariana Islands,69,9724,30
3/1/2022,Ohio,39,2654991,36822
3/1/2022,Oklahoma,40,1021849,12990
3/1/2022,Oregon,41,694649,6648
3/1/2022,Pennsylvania,42,2758482,43332
3/1/2022,Puerto Rico,72,507138,4114
3/1/2022,Rhode Island,44,356095,3413
3/1/2022,South Carolina,45,1461426,16912
3/1/2022,South Dakota,46,236056,2808
3/1/2022,Tennessee,47,1957929,24245
3/1/2022,Texas,48,6565659,85143
3/1/2022,Utah,49,923313,4417
3/1/2022,Vermont,50,112364,598
3/1/2022,Virgin Islands,78,15402,109
3/1/2022,Virginia,51,1641438,18811
3/1/2022,Washington,53,1424853,11941
3/1/2022,West Virginia,54,490544,6339
3/1/2022,Wisconsin,55,1572917,13351
3/1/2022,Wyoming,56,155184,1741
3/2/2022,Alabama,1,1281610,18335
3/2/2022,Alaska,2,238547,1155
3/2/2022,American Samoa,60,135,0
3/2/2022,Arizona,4,1980769,27947
3/2/2022,Arkansas,5,821236,10611
3/2/2022,California,6,8984737,85975
3/2/2022,Colorado,8,1321703,12035
3/2/2022,Connecticut,9,723812,10512
3/2/2022,Delaware,10,256753,2711
3/2/2022,District of Columbia,11,134678,1321
3/2/2022,Florida,12,5810369,70247
3/2/2022,Georgia,13,2397749,34230
3/2/2022,Guam,66,45542,329
3/2/2022,Hawaii,15,230714,1338
3/2/2022,Idaho,16,429571,4774
3/2/2022,Illinois,17,3040100,37010
3/2/2022,Indiana,18,1686660,22928
3/2/2022,Iowa,19,754511,9171
3/2/2022,Kansas,20,767939,7997
3/2/2022,Kentucky,21,1292722,13978
3/2/2022,Louisiana,22,1227106,16677
3/2/2022,Maine,23,228241,2078
3/2/2022,Maryland,24,1003302,14146
3/2/2022,Massachusetts,25,1673611,23525
3/2/2022,Michigan,26,2357880,34727
3/2/2022,Minnesota,27,1416371,12332
3/2/2022,Mississippi,28,790616,12115
3/2/2022,Missouri,29,1414729,19272
3/2/2022,Montana,30,268397,3192
3/2/2022,Nebraska,31,475888,3986
3/2/2022,Nevada,32,684441,9753
3/2/2022,New Hampshire,33,298808,2396
3/2/2022,New Jersey,34,2170061,32966
3/2/2022,New Mexico,35,512550,6941
3/2/2022,New York,36,4911447,66829
3/2/2022,North Carolina,37,2594720,22681
3/2/2022,North Dakota,38,238354,2246
3/2/2022,Northern Mariana Islands,69,9856,30
3/2/2022,Ohio,39,2656162,36822
3/2/2022,Oklahoma,40,1022769,13278
3/2/2022,Oregon,41,695323,6652
3/2/2022,Pennsylvania,42,2759653,43421
3/2/2022,Puerto Rico,72,507324,4122
3/2/2022,Rhode Island,44,356436,3413
3/2/2022,South Carolina,45,1461805,16928
3/2/2022,South Dakota,46,236132,2814
3/2/2022,Tennessee,47,1959798,24298
3/2/2022,Texas,48,6569669,85346
3/2/2022,Utah,49,923777,4436
3/2/2022,Vermont,50,112728,602
3/2/2022,Virgin Islands,78,15410,109
3/2/2022,Virginia,51,1643050,18859
3/2/2022,Washington,53,1428260,12020
3/2/2022,West Virginia,54,491042,6381
3/2/2022,Wisconsin,55,1573692,13398
3/2/2022,Wyoming,56,155277,1741
3/3/2022,Alabama,1,1282372,18407
3/3/2022,Alaska,2,238547,1155
3/3/2022,American Samoa,60,154,0
3/3/2022,Arizona,4,1980769,27947
3/3/2022,Arkansas,5,821717,10661
3/3/2022,California,6,8995103,86135
3/3/2022,Colorado,8,1322851,12047
3/3/2022,Connecticut,9,724401,10515
3/3/2022,Delaware,10,256895,2711
3/3/2022,District of Columbia,11,134678,1321
3/3/2022,Florida,12,5812552,70789
3/3/2022,Georgia,13,2398885,34333
3/3/2022,Guam,66,46210,332
3/3/2022,Hawaii,15,231006,1341
3/3/2022,Idaho,16,431010,4774
3/3/2022,Illinois,17,3041322,37054
3/3/2022,Indiana,18,1687170,22963
3/3/2022,Iowa,19,755022,9171
3/3/2022,Kansas,20,767944,8000
3/3/2022,Kentucky,21,1294942,14009
3/3/2022,Louisiana,22,1227713,16711
3/3/2022,Maine,23,229275,2078
3/3/2022,Maryland,24,1003773,14160
3/3/2022,Massachusetts,25,1674777,23553
3/3/2022,Michigan,26,2357880,34727
3/3/2022,Minnesota,27,1417205,12362
