date,state,fips,cases,deaths
3/3/2021,Missouri,29,526191,8565
3/3/2021,Montana,30,100469,1374
3/3/2021,Nebraska,31,202182,2213
3/3/2021,Nevada,32,294742,4988
3/3/2021,New Hampshire,33,75990,1175
3/3/2021,New Jersey,34,799476,23383
3/3/2021,New Mexico,35,185898,3755
3/3/2021,New York,36,1663505,47464
3/3/2021,North Carolina,37,866725,11389
3/3/2021,North Dakota,38,100097,1478
3/3/2021,Northern Mariana Islands,69,144,2
3/3/2021,Ohio,39,972605,16750
3/3/2021,Oklahoma,40,425746,4534
3/3/2021,Oregon,41,156387,2262
3/3/2021,Pennsylvania,42,943448,24214
3/3/2021,Puerto Rico,72,134380,2048
3/3/2021,Rhode Island,44,127285,2534
3/3/2021,South Carolina,45,519996,8620
3/3/2021,South Dakota,46,112833,1893
3/3/2021,Tennessee,47,764297,11365
3/3/2021,Texas,48,2673115,44627
3/3/2021,Utah,49,372764,1955
3/3/2021,Vermont,50,15487,207
3/3/2021,Virgin Islands,78,2695,25
3/3/2021,Virginia,51,580108,9326
3/3/2021,Washington,53,345193,5075
3/3/2021,West Virginia,54,132416,2309
3/3/2021,Wisconsin,55,619089,7074
3/3/2021,Wyoming,56,54616,682
3/4/2021,Alabama,1,498076,10094
3/4/2021,Alaska,2,58722,291
3/4/2021,Arizona,4,821474,16185
3/4/2021,Arkansas,5,323756,5273
3/4/2021,California,6,3587750,53457
3/4/2021,Colorado,8,435448,6066
3/4/2021,Connecticut,9,284500,7693
3/4/2021,Delaware,10,87643,1444
3/4/2021,District of Columbia,11,41014,1024
3/4/2021,Florida,12,1930224,31386
3/4/2021,Georgia,13,992399,17198
3/4/2021,Guam,66,8716,132
3/4/2021,Hawaii,15,27604,438
3/4/2021,Idaho,16,172721,1879
3/4/2021,Illinois,17,1196739,22902
3/4/2021,Indiana,18,667668,12663
3/4/2021,Iowa,19,338588,5536
3/4/2021,Kansas,20,298218,4816
3/4/2021,Kentucky,21,411928,4886
3/4/2021,Louisiana,22,432527,9686
3/4/2021,Maine,23,45227,705
3/4/2021,Maryland,24,384947,7922
3/4/2021,Massachusetts,25,586310,16296
3/4/2021,Michigan,26,651685,16580
3/4/2021,Minnesota,27,487442,6589
3/4/2021,Mississippi,28,296154,6764
